,glnno,kalfaad,barcode,created_at,Ürün Adı,Ana Kategori,Alt Kategori 1,Alt Kategori 2,KAT,Eczane adı,Danısman X (devIr),boro,İlçe,latitude,longitude,Firma
42,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-09-13 21:07:10,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
43,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-09-15 14:37:13,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
44,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-09-16 17:41:40,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
45,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-01-26 14:53:36,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
46,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-01-26 14:58:46,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
47,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-01-30 14:53:38,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
48,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-01-30 15:08:17,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
49,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-02-01 11:01:09,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
50,8680001374199,Crossist,8699512820040,2023-03-23 17:21:21,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
51,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-03-24 09:27:47,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
52,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-03-24 16:51:42,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
53,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-03-27 15:31:23,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
54,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-03-31 11:17:41,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
55,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-04-11 17:38:17,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
56,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-04-14 14:47:43,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
57,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-04-17 19:27:34,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
